event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
66150,0.22,0.043,5.11628,15739,15739,15739
82230,0.381,0.057,6.68421,20609,20609,20608
91696,0.458,0.064,7.15625,24037,24037,24037
83958,0.387,0.056,6.91071,20824,20824,20824
96209,0.554,0.073,7.58904,28151,28152,28151
77953,0.365,0.056,6.51786,21447,21447,21447
84561,0.396,0.058,6.82759,21459,21459,21459
73134,0.292,0.047,6.21277,18063,18063,18063
82944,0.39,0.058,6.72414,20950,20950,20950
73995,0.303,0.049,6.18367,17898,17898,17898
86869,0.417,0.06,6.95,21567,21567,21567
82761,0.403,0.059,6.83051,21998,21998,21998
71413,0.302,0.05,6.04,18563,18563,18563
72275,0.292,0.049,5.95918,18530,18530,18530
73667,0.282,0.049,5.7551,18845,18845,18845
71644,0.284,0.048,5.91667,17584,17584,17584
94248,0.536,0.073,7.34247,26370,26370,26370
76186,0.312,0.051,6.11765,19365,19365,19364
60761,0.204,0.039,5.23077,13633,13633,13632
75486,0.316,0.052,6.07692,19496,19496,19496
70550,0.302,0.048,6.29167,19019,19019,19019
91783,0.514,0.069,7.44928,25178,25178,25178
64490,0.242,0.043,5.62791,15605,15605,15605
74510,0.319,0.05,6.38,18954,18952,18951
75613,0.318,0.05,6.36,18707,18707,18707
75971,0.328,0.052,6.30769,19179,19179,19179
90612,0.488,0.068,7.17647,24726,24726,24726
70345,0.284,0.048,5.91667,18195,18195,18194
75408,0.324,0.052,6.23077,18360,18360,18360
91785,0.461,0.064,7.20312,23208,23208,23208
80601,0.344,0.054,6.37037,21234,21234,21233
74889,0.308,0.05,6.16,18436,18437,18436
86790,0.42,0.06,7,21816,21816,21815
80976,0.375,0.057,6.57895,22085,22085,22085
68245,0.253,0.044,5.75,15983,15983,15983
76347,0.343,0.053,6.4717,19572,19572,19572
83312,0.376,0.056,6.71429,20484,20484,20484
79660,0.368,0.055,6.69091,21353,21352,21352
66948,0.253,0.044,5.75,16454,16454,16454
79627,0.347,0.053,6.54717,19786,19786,19785
58150,0.182,0.035,5.2,11538,11538,11538
78412,0.354,0.054,6.55556,21068,21068,21067
59020,0.173,0.037,4.67568,12142,12142,12142
69115,0.272,0.045,6.04444,16497,16497,16497
77056,0.339,0.052,6.51923,19635,19635,19635
73340,0.304,0.049,6.20408,17835,17836,17835
82991,0.359,0.056,6.41071,20899,20899,20899
88779,0.445,0.065,6.84615,24029,24029,24029
89835,0.48,0.067,7.16418,25158,25159,25158
71733,0.27,0.049,5.5102,18351,18351,18351
