event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
47299,0.109039,0.130225,0.837311,10317,10317,10317
74411,0.286608,0.197682,1.44984,18398,18398,18396
69542,0.240748,0.17414,1.3825,15985,15985,15985
77618,0.30786,0.196664,1.56541,19521,19521,19521
76625,0.30044,0.196565,1.52845,19120,19120,19119
68582,0.242651,0.176329,1.37613,17472,17472,17472
70962,0.255418,0.180549,1.41467,16524,16524,16522
96532,0.528273,0.244122,2.16397,28407,28407,28404
61216,0.190723,0.159214,1.19791,14909,14909,14909
84273,0.381781,0.212179,1.79933,22216,22216,22216
73072,0.278654,0.17811,1.5645,18194,18194,18193
78024,0.32497,0.195518,1.6621,21060,21060,21060
66150,0.217313,0.163179,1.33175,15739,15739,15738
82230,0.355499,0.213595,1.66436,20609,20609,20609
91696,0.427599,0.232275,1.84092,24037,24037,24037
83958,0.364981,0.215853,1.69087,20824,20824,20823
96209,0.532343,0.253774,2.0977,28151,28151,28151
77953,0.342128,0.210608,1.62448,21447,21447,21447
84561,0.377276,0.224414,1.68116,21459,21459,21457
73134,0.271599,0.184549,1.47169,18063,18063,18063
82944,0.366112,0.210516,1.73912,20950,20950,20950
73995,0.282036,0.188756,1.49418,17898,17898,17898
86869,0.38986,0.217664,1.79111,21567,21567,21567
82761,0.374646,0.210644,1.77857,21998,21998,21998
71413,0.275768,0.18584,1.4839,18563,18563,18562
72275,0.283888,0.193606,1.46632,18530,18530,18530
73667,0.285996,0.190053,1.50482,18845,18845,18844
71644,0.262725,0.184925,1.42071,17584,17584,17584
94248,0.501638,0.235141,2.13335,26370,26370,26370
76186,0.303407,0.189247,1.60323,19365,19365,19365
60761,0.182352,0.15433,1.18158,13633,13633,13631
75486,0.30041,0.197514,1.52096,19496,19496,19496
70550,0.279987,0.180957,1.54726,19019,19019,19019
91783,0.481615,0.235504,2.04504,25178,25178,25177
64490,0.219468,0.168582,1.30185,15605,15605,15605
74510,0.292891,0.200976,1.45734,18954,18954,18954
75613,0.295238,0.203332,1.452,18707,18707,18707
75971,0.302307,0.204081,1.48131,19179,19179,19178
90612,0.464218,0.231416,2.00599,24726,24726,24726
70345,0.264396,0.180692,1.46324,18195,18195,18193
75408,0.299153,0.199851,1.49688,18360,18360,18360
91785,0.457659,0.234896,1.94835,23208,23208,23207
80601,0.331252,0.212654,1.5577,21234,21234,21234
74889,0.283462,0.184392,1.53728,18436,18436,18435
86790,0.392531,0.215392,1.82241,21816,21816,21816
80976,0.352479,0.214459,1.64357,22085,22085,22084
68245,0.234171,0.172598,1.35674,15983,15983,15983
76347,0.319845,0.193996,1.64872,19572,19572,19572
83312,0.356168,0.207854,1.71355,20484,20484,20484
79660,0.342369,0.221729,1.54409,21353,21353,21352
66948,0.229132,0.176018,1.30176,16454,16454,16454
79627,0.325837,0.19905,1.63696,19786,19786,19786
